x,y,z
2.6875718798422072 nm,1.402554748080436 nm,0.4281290789537761 nm
2.643364894107958 nm,1.8652936098927837 nm,0.6787548265156707 nm
2.2072670888129093 nm,1.846963474606579 nm,0.2161621168246829 nm
0.9444043380130771 nm,1.9280247602698157 nm,0.4432905426345336 nm
2.9897612977209302 nm,1.512299755574431 nm,0.7193811364183272 nm
3.098154826233934 nm,1.8485658142894483 nm,0.697638375763372 nm
2.563351226932222 nm,1.5621761075926994 nm,0.4807250634600899 nm
3.027503609498334 nm,1.7835954097298694 nm,0.46280512357388537 nm
2.7566855650681306 nm,1.5987088165315368 nm,0.07829039735827248 nm
2.235066048362589 nm,1.9184988886238992 nm,0.28998802575335136 nm
2.8633640439500976 nm,1.6079804253909449 nm,0.8141223931212752 nm
2.875160245997181 nm,2.0692135874542448 nm,0.7837393003205497 nm
2.562756751608786 nm,1.6832251948039163 nm,0.4692048798909798 nm
2.9408930253864813 nm,1.8260742132515586 nm,0.44199483437329506 nm
2.7065977798224967 nm,1.8033660763243629 nm,0.15510653342656006 nm
2.9518998089406296 nm,1.850934329022305 nm,0.15564942833864645 nm
2.5482168741964664 nm,1.8530664485686785 nm,0.8109949681207669 nm
2.590707459781178 nm,2.1360421946299266 nm,0.7570732516805982 nm
2.3957258363118465 nm,1.9755567148061237 nm,0.49030731095772784 nm
2.6647839497974837 nm,2.0462613077780234 nm,0.4760323380035728 nm
2.2199521228885764 nm,2.118131790502843 nm,0.1798257964214728 nm
2.7689028382820102 nm,2.232538205425975 nm,0.2023785144104182 nm
2.16377861926551 nm,2.327511269166626 nm,0.9166651242576185 nm
1.58492314687214 nm,2.697249498509203 nm,0.970302822053176 nm
2.1498077682477703 nm,2.3140493841364393 nm,0.55709091393759 nm
2.36877578146144 nm,2.3346502535458695 nm,0.5832311728953892 nm
1.7315791730269017 nm,2.363404408120998 nm,0.23745259512645617 nm
2.6842128932843075 nm,2.471728056170646 nm,0.14351009836131526 nm
2.218121166776024 nm,2.354156678293728 nm,1.3376374773932427 nm
2.254823660860841 nm,2.5778811758397633 nm,1.3370962115401206 nm
2.9459036550106035 nm,1.7157343591644036 nm,0.8591536255350857 nm
1.949826114311228 nm,2.0804006174928436 nm,0.42478593180812957 nm
1.4024441155423144 nm,2.09632411492762 nm,0.6357171543364873 nm
2.5362858063436047 nm,2.3145591533030436 nm,-0.22126679337330654 nm
0.6558463008015578 nm,2.0145118716124024 nm,2.7128983653703553 nm
1.8132450807198592 nm,1.5592441559191044 nm,2.642288634092359 nm
1.0763406769439936 nm,2.0156771980822987 nm,1.7606654789512377 nm
1.865116826826938 nm,0.10466921894280011 nm,3.0394378572011536 nm
0.370697609991405 nm,2.3303000702042285 nm,0.8556150808286577 nm
0.03234686748739662 nm,1.4641087966526949 nm,1.4513742148365065 nm
1.783101839240785 nm,1.3561427813279812 nm,1.76320235505023 nm
1.2591910294344733 nm,1.066837672655322 nm,1.7983654935748978 nm
1.704880362206762 nm,1.4127547712822806 nm,0.9099882592085717 nm
1.2283074332918007 nm,0.7532868955706453 nm,1.6601921124583656 nm
1.1751424110680515 nm,1.8734810693139612 nm,0.5558123521701183 nm
1.3683172891968376 nm,1.4541159448847303 nm,1.1942561755212429 nm
1.649535382944613 nm,1.1019844753150823 nm,1.3877932024295918 nm
2.0351867459821484 nm,1.4771427883578956 nm,1.9912617662042131 nm
1.4042404996974576 nm,1.4739557028445065 nm,1.0119386880410906 nm
1.710218809135742 nm,1.8508943336241748 nm,1.2863732868198374 nm
1.5941203413724603 nm,1.7811428798616504 nm,0.9822584473222229 nm
1.1877313909492204 nm,0.8671434196800716 nm,0.8457642214602527 nm
2.0142739810163746 nm,0.8040622515467709 nm,0.9868554663366598 nm
1.814136108504797 nm,1.5300020700865493 nm,1.708736679312458 nm
1.7467984627019353 nm,1.2543817760011722 nm,0.36869798237370777 nm
1.7983512106570707 nm,1.849013164225558 nm,1.6461278429749584 nm
1.9427450503844623 nm,1.676739805243312 nm,0.7627704672376405 nm
1.0360440332672123 nm,1.3863580200693981 nm,0.9195288676044915 nm
2.3709192387737423 nm,2.27143202592977 nm,0.743695610992544 nm
2.3164302096555267 nm,2.751251625977419 nm,2.689096686895089 nm
1.796804302890799 nm,1.475414522913812 nm,0.5733759306688478 nm
1.7110426854532048 nm,2.1223413513305074 nm,1.9284494247338095 nm
1.4382305416197978 nm,1.9383577438273194 nm,0.6785018949505996 nm
1.2363613483093308 nm,3.03933757905616 nm,1.333957727303546 nm
2.7953195567574802 nm,2.2718434996934316 nm,0.9866849044430149 nm
2.0927556580576323 nm,2.3063051890197577 nm,2.3985818199092543 nm
2.3561556289615817 nm,1.7727576607141515 nm,0.5346966486045954 nm
1.9580386115361077 nm,2.141624059688592 nm,1.7355722735559462 nm
1.5873723032216107 nm,1.8913642193120133 nm,0.5078919193537662 nm
1.2110371438930692 nm,0.7520051682753348 nm,0.9071801275874949 nm
2.2601448719203274 nm,2.4101990280874674 nm,1.0644472151021858 nm
2.4391768470335045 nm,2.500197974729833 nm,0.8769225708979548 nm
2.637348087979519 nm,2.2707172646539546 nm,0.5556461005760618 nm
1.906964991501572 nm,2.226815660928974 nm,1.0181908042408945 nm
1.947134877080012 nm,2.2055557689385386 nm,0.42781629458142734 nm
1.1998805643188508 nm,0.8572407349398878 nm,0.4575495182222744 nm
2.674787892713905 nm,2.4909406395938674 nm,0.8263601705900524 nm
2.7927903492571757 nm,2.803581201676587 nm,0.836931196214864 nm
2.691668244001722 nm,2.3328255502197397 nm,0.5179227594485223 nm
2.6522723129401693 nm,2.754856698260977 nm,0.46507512635722387 nm
2.7720878035614387 nm,2.6390140675068405 nm,0.23157313601909435 nm
1.9030862903041315 nm,2.9052133050438305 nm,0.2813888987561916 nm
2.8243826900912214 nm,2.3624193367643067 nm,0.7362730335338246 nm
2.8031035463880603 nm,2.6881188990456826 nm,0.7557108062256396 nm
2.6018652827738773 nm,2.3259269000465195 nm,0.45361806987966863 nm
2.810077264313167 nm,2.5865944721916225 nm,0.5295206120602413 nm
2.7982196345136425 nm,2.54527096196675 nm,0.18435091294321004 nm
2.607268394508108 nm,2.8578047721457263 nm,0.27085475512916257 nm
2.746875565066158 nm,2.5375205172297375 nm,0.8087904846022766 nm
2.8955594539512406 nm,2.6713722735444736 nm,0.8061891853511413 nm
1.7098222721279948 nm,2.6478825048504233 nm,0.45067846437823844 nm
2.766541853525324 nm,2.7089754243314244 nm,0.501478271004637 nm
2.4971194889278974 nm,2.687940871045562 nm,0.16361385063279893 nm
2.841910221816097 nm,2.798125045362804 nm,0.2662785000873819 nm
2.6184685701754034 nm,0.09150579196917724 nm,1.2960002345873645 nm
3.1880457686272807 nm,2.6966760822489544 nm,0.7271735230810397 nm
2.7235918349595223 nm,2.460740135273932 nm,0.5111775900794794 nm
