x,y,z
-0.3545784068101562 nm ps⁻¹,-0.3314515404790096 nm ps⁻¹,-0.38462098163608904 nm ps⁻¹
33.75161467730837 nm ps⁻¹,-0.38306485614587205 nm ps⁻¹,-0.3307130910933908 nm ps⁻¹
0.024181254861996772 nm ps⁻¹,-0.34182861389810465 nm ps⁻¹,-0.2509856555131687 nm ps⁻¹
-0.04553183450579082 nm ps⁻¹,-0.3427631077761474 nm ps⁻¹,-0.29258563445588165 nm ps⁻¹
-0.13161163072230705 nm ps⁻¹,-0.32415955843182487 nm ps⁻¹,-0.38669735581386017 nm ps⁻¹
-0.042334253676986795 nm ps⁻¹,-0.24292079659650367 nm ps⁻¹,-0.10476899820441252 nm ps⁻¹
-0.11907579627476443 nm ps⁻¹,-0.3663079497394243 nm ps⁻¹,-0.39293217994550045 nm ps⁻¹
-0.004385893579327032 nm ps⁻¹,-0.20816313264405298 nm ps⁻¹,-0.17146058730220157 nm ps⁻¹
-0.0005584858624985929 nm ps⁻¹,-0.3891236249676634 nm ps⁻¹,-0.2940422738016327 nm ps⁻¹
-0.10787048172732788 nm ps⁻¹,-0.31342457790743256 nm ps⁻¹,-0.08846678347767564 nm ps⁻¹
0.025279741200742115 nm ps⁻¹,-0.20788076635593516 nm ps⁻¹,-0.29257991499465924 nm ps⁻¹
0.1349583909572945 nm ps⁻¹,-0.16777846690694284 nm ps⁻¹,-0.2652383793821938 nm ps⁻¹
-0.1572425579911507 nm ps⁻¹,-0.3838321088264148 nm ps⁻¹,-0.3454130569598265 nm ps⁻¹
0.029971071310439405 nm ps⁻¹,-0.3874397181022118 nm ps⁻¹,-0.3950745794919776 nm ps⁻¹
-0.13503570889201416 nm ps⁻¹,-0.30383229296667036 nm ps⁻¹,-0.33768024410629327 nm ps⁻¹
-0.17557128528521812 nm ps⁻¹,-0.28969887618354295 nm ps⁻¹,-0.526929771466165 nm ps⁻¹
-0.005398394328307295 nm ps⁻¹,-0.38166757140280755 nm ps⁻¹,-0.21317612353239868 nm ps⁻¹
-0.05209455726702907 nm ps⁻¹,-0.3065301964812668 nm ps⁻¹,-0.3112915503729985 nm ps⁻¹
-0.04394013742125478 nm ps⁻¹,-0.34450767842710905 nm ps⁻¹,-0.3720311238832286 nm ps⁻¹
-0.23597689298407712 nm ps⁻¹,-0.1894616809054833 nm ps⁻¹,-0.24876524323319685 nm ps⁻¹
0.021863757676639842 nm ps⁻¹,-0.2649138422607609 nm ps⁻¹,-0.2704287682274187 nm ps⁻¹
-0.3067894016994487 nm ps⁻¹,-0.4478838055243051 nm ps⁻¹,-0.17664766331262646 nm ps⁻¹
-0.12499149469835609 nm ps⁻¹,-0.4028370631998143 nm ps⁻¹,-0.4859396338509637 nm ps⁻¹
0.11537998588702329 nm ps⁻¹,-0.26005187924219797 nm ps⁻¹,-0.42893752237431426 nm ps⁻¹
-0.16703054186173688 nm ps⁻¹,-0.32009615987685014 nm ps⁻¹,-0.3430174962867538 nm ps⁻¹
-0.09423069496604615 nm ps⁻¹,-0.5012334560752315 nm ps⁻¹,-0.33580877690788485 nm ps⁻¹
-0.08532380864362127 nm ps⁻¹,-0.1449260429187688 nm ps⁻¹,-0.30715069870458206 nm ps⁻¹
