x,y,z
-23824.908860467203 kJ nm⁻¹ mol⁻¹,-168055.03339302528 kJ nm⁻¹ mol⁻¹,-223983.63411126815 kJ nm⁻¹ mol⁻¹
-6276.218148464453 kJ nm⁻¹ mol⁻¹,-167566.06079152902 kJ nm⁻¹ mol⁻¹,-223520.6429450497 kJ nm⁻¹ mol⁻¹
-23249.314020531256 kJ nm⁻¹ mol⁻¹,-168776.72255215218 kJ nm⁻¹ mol⁻¹,-224563.0837353757 kJ nm⁻¹ mol⁻¹
-22725.278867995312 kJ nm⁻¹ mol⁻¹,-169999.2552430334 kJ nm⁻¹ mol⁻¹,-225686.81217185917 kJ nm⁻¹ mol⁻¹
-23288.65012405784 kJ nm⁻¹ mol⁻¹,-168593.15030383342 kJ nm⁻¹ mol⁻¹,-224783.256705166 kJ nm⁻¹ mol⁻¹
-23344.043262401774 kJ nm⁻¹ mol⁻¹,-166988.909057675 kJ nm⁻¹ mol⁻¹,-226265.58077553663 kJ nm⁻¹ mol⁻¹
-22736.995351375084 kJ nm⁻¹ mol⁻¹,-166732.69056156685 kJ nm⁻¹ mol⁻¹,-225409.32519909818 kJ nm⁻¹ mol⁻¹
-23813.139887205736 kJ nm⁻¹ mol⁻¹,-169103.37247878127 kJ nm⁻¹ mol⁻¹,-223940.91455764906 kJ nm⁻¹ mol⁻¹
-24527.745289988936 kJ nm⁻¹ mol⁻¹,-167426.7228615852 kJ nm⁻¹ mol⁻¹,-225256.97428705983 kJ nm⁻¹ mol⁻¹
-24411.20822899533 kJ nm⁻¹ mol⁻¹,-168280.08980670277 kJ nm⁻¹ mol⁻¹,-225410.89613413098 kJ nm⁻¹ mol⁻¹
-23645.478331647002 kJ nm⁻¹ mol⁻¹,-168213.24466865906 kJ nm⁻¹ mol⁻¹,-224900.88205170145 kJ nm⁻¹ mol⁻¹
-23377.305943503514 kJ nm⁻¹ mol⁻¹,-168505.20537721214 kJ nm⁻¹ mol⁻¹,-224214.12270077324 kJ nm⁻¹ mol⁻¹
-24337.430500041057 kJ nm⁻¹ mol⁻¹,-167327.87752777638 kJ nm⁻¹ mol⁻¹,-225527.54591209654 kJ nm⁻¹ mol⁻¹
-23725.3792012877 kJ nm⁻¹ mol⁻¹,-169269.15151384613 kJ nm⁻¹ mol⁻¹,-225580.0528278233 kJ nm⁻¹ mol⁻¹
-22905.19125065557 kJ nm⁻¹ mol⁻¹,-168871.04233469343 kJ nm⁻¹ mol⁻¹,-225248.9933999004 kJ nm⁻¹ mol⁻¹
-23275.551768674693 kJ nm⁻¹ mol⁻¹,-168579.1311298555 kJ nm⁻¹ mol⁻¹,-224259.0356718568 kJ nm⁻¹ mol⁻¹
