x,y,z
1.918909672470826 nm,2.6418350513503324 nm,0.241070163299021 nm
1.7713270796560767 nm,2.8975287519843986 nm,0.24100618032062693 nm
2.0665239174711347 nm,2.556632981484468 nm,0.7230931822374603 nm
2.214153860148154 nm,2.8123271626687094 nm,0.7231690917311989 nm
2.2141263029364313 nm,2.4714127932227057 nm,0.4820746369990154 nm
2.066561311222917 nm,2.727127191926712 nm,0.48207386568471844 nm
2.214079565598518 nm,2.6418907669300014 nm,0.2410482882583157 nm
2.066479613728049 nm,2.8974952200887727 nm,0.24100090676402708 nm
2.3617501374872245 nm,2.5566550255585296 nm,0.7231516346232817 nm
2.5093318344203417 nm,2.8123727919489694 nm,0.7231590935899996 nm
2.509339995433022 nm,2.4714607172026297 nm,0.48215849768741653 nm
2.3617084734046223 nm,2.7271036466362104 nm,0.4820682215907359 nm
2.509401511307025 nm,2.641872147687172 nm,0.24105185703570842 nm
2.361759456862795 nm,2.897493041990907 nm,0.2410536501479093 nm
2.6569754523841453 nm,2.556621561326262 nm,0.7231064804398216 nm
2.804590773950124 nm,2.812325579014206 nm,0.7231496672540176 nm
2.804537647925974 nm,2.4714358905228404 nm,0.48217592703476025 nm
2.6569361808292795 nm,2.727125121537754 nm,0.4821136609915817 nm
2.804611767985575 nm,2.641878129899135 nm,0.2410399674367333 nm
2.6569178769069337 nm,2.897588239932767 nm,0.24100929666336246 nm
2.9522015155261334 nm,2.5567013192616996 nm,0.7231461235329758 nm
3.099784370726213 nm,2.8123604434812375 nm,0.7230843319166014 nm
3.099781362360088 nm,2.471474216768608 nm,0.4820823659134996 nm
2.9521585583547933 nm,2.7270385478139834 nm,0.4821559122056009 nm
